"year","sex","age","deaths"
2014,"male",65,615.302145190473
2014,"male",70,748.801631830494
2014,"male",75,896.35369601157
2014,"male",80,898.361207088864
2014,"male",85,1543.77601843874
2015,"male",0,256.276263113977
2015,"male",1,48.2326108475696
2015,"male",5,20.0969211864873
2015,"male",10,46.2229187289209
2015,"male",15,136.659064068114
2015,"male",20,199.964365805549
2015,"male",25,156.755985254601
2015,"male",30,161.780215551223
2015,"male",35,223.075825170009
2015,"male",40,270.303589958255
2015,"male",45,289.395665085418
2015,"male",50,390.885117077179
2015,"male",55,432.083805509478
2015,"male",60,535.582949619887
2015,"male",65,582.810714408133
2015,"male",70,717.460086357598
2015,"male",75,883.259686146118
2015,"male",80,911.3953758072
2015,"male",85,1539.42416288493
2016,"male",0,272.65915833935
2016,"male",1,50.1024492817725
2016,"male",5,30.0614695690635
2016,"male",10,57.1167921812206
2016,"male",15,143.293004945869
2016,"male",20,200.40979712709
2016,"male",25,182.372915385652
2016,"male",30,205.420042055267
2016,"male",35,228.467168724883
2016,"male",40,283.579862934832
2016,"male",45,313.641332503896
2016,"male",50,420.860573966889
2016,"male",55,481.985562090651
2016,"male",60,584.194558625467
2016,"male",65,685.401506174648
2016,"male",70,695.421996031002
2016,"male",75,875.790813445383
2016,"male",80,906.854332000082
2016,"male",85,1670.41565905429
2017,"male",0,260.743667515971
2017,"male",1,38.0296261957942
2017,"male",5,31.0241687386742
2017,"male",10,47.036642926377
2017,"male",15,186.145012432045
2017,"male",20,253.197248093051
2017,"male",25,229.178536811496
2017,"male",30,218.169960807451
2017,"male",35,257.200366639976
2017,"male",40,329.256500484639
2017,"male",45,394.307176872182
2017,"male",50,456.35551434953
2017,"male",55,538.419444561507
2017,"male",60,655.510662059084
2017,"male",65,671.523136246787
2017,"male",70,755.588625732226
2017,"male",75,867.675945046146
2017,"male",80,984.767162543723
2017,"male",85,1811.41114248388
2018,"male",0,241.693852312197
2018,"male",1,60.006564790304
2018,"male",5,36.0039388741824
2018,"male",10,39.0042671136976
2018,"male",15,186.020350849943
2018,"male",20,252.027572119277
2018,"male",25,284.031073340772
2018,"male",30,234.025602682186
2018,"male",35,254.02779094562
2018,"male",40,308.033699256894
2018,"male",45,376.041139352572
2018,"male",50,486.053174801463
2018,"male",55,570.062365507888
2018,"male",60,638.069805603566
2018,"male",65,710.077683351931
2018,"male",70,802.087749363731
2018,"male",75,869.095080046237
2018,"male",80,979.107115495128
2018,"male",85,1815.1985849067
2019,"male",0,260.792746596428
2019,"male",1,54.0144791948821
2019,"male",5,28.0075077306796
2019,"male",10,45.0120659957351
2019,"male",15,144.038611186352
2019,"male",20,240.064351977254
